year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Adilabad,Adilabad (Rural),Paddy Irrigated,2,0
2018-2019,Rabi,Adilabad,Mavala,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Jainath,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Bela,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Ichoda,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Srikonda,Paddy Irrigated,2,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Utnoor,Paddy Irrigated,20,0
2018-2019,Rabi,Adilabad,Inderavelly,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Narnoor,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Boath,Paddy Irrigated,1,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Bheempur,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Tamsi,Paddy Irrigated,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Paddy Irrigated,3,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Mavala,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Adilabad (Urban),Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Jainath,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Bela,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Ichoda,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Srikonda,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Gudihathnoor,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Utnoor,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Inderavelly,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Narnoor,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Gadiguda,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Boath,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Bazarhatnoor,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Neradigonda,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Bheempur,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Tamsi,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Talamadugu,Paddy Rainfed,0,0
2018-2019,Rabi,Adilabad,Adilabad (Rural),Jowar,104,31
2018-2019,Rabi,Adilabad,Mavala,Jowar,14,5
2018-2019,Rabi,Adilabad,Adilabad (Urban),Jowar,0,0
2018-2019,Rabi,Adilabad,Jainath,Jowar,117,40
2018-2019,Rabi,Adilabad,Bela,Jowar,53,20
2018-2019,Rabi,Adilabad,Ichoda,Jowar,188,135
2018-2019,Rabi,Adilabad,Srikonda,Jowar,15,60
2018-2019,Rabi,Adilabad,Gudihathnoor,Jowar,119,176.8
2018-2019,Rabi,Adilabad,Utnoor,Jowar,316,100
2018-2019,Rabi,Adilabad,Inderavelly,Jowar,221,386
2018-2019,Rabi,Adilabad,Narnoor,Jowar,255,13
2018-2019,Rabi,Adilabad,Gadiguda,Jowar,25,150
2018-2019,Rabi,Adilabad,Boath,Jowar,276,45
2018-2019,Rabi,Adilabad,Bazarhatnoor,Jowar,65,45
2018-2019,Rabi,Adilabad,Neradigonda,Jowar,92,182
2018-2019,Rabi,Adilabad,Bheempur,Jowar,57,353
2018-2019,Rabi,Adilabad,Tamsi,Jowar,191,137
2018-2019,Rabi,Adilabad,Talamadugu,Jowar,99,60
2018-2019,Rabi,Adilabad,Adilabad (Rural),Maize,6,
2018-2019,Rabi,Adilabad,Mavala,Maize,0,2
